Date,Cage_treatment,Cage_number,Pic_1_count,Pic_2_count,Pic_3_count,Pic_4_count,Picture_total,pic avg,est_avg,est_tot,est_1,est_2,est_3,est_4,est_total 
7/21/20,a,A1,64,64,64,64,256,64,2560,2560,2560,2560,2560,2560,10240
7/21/20,a,A2,64,64,64,64,256,64,2560,2560,2560,2560,2560,2560,10240
7/21/20,a,A3,64,64,64,64,256,64,2560,2560,2560,2560,2560,2560,10240
7/21/20,a,A4,64,64,64,64,256,64,2560,2560,2560,2560,2560,2560,10240
7/21/20,a,A5,64,64,64,64,256,64,2560,2560,2560,2560,2560,2560,10240
7/21/20,a,A6,64,64,64,64,256,64,2560,2560,2560,2560,2560,2560,10240
7/21/20,b,B1,64,64,64,64,256,64,2560,2560,2560,2560,2560,2560,10240
7/21/20,b,B2,64,64,64,64,256,64,2560,2560,2560,2560,2560,2560,10240
7/21/20,b,B3,64,64,64,64,256,64,2560,2560,2560,2560,2560,2560,10240
7/21/20,b,B4,64,64,64,64,256,64,2560,2560,2560,2560,2560,2560,10240
7/21/20,b,B5,64,64,64,64,256,64,2560,2560,2560,2560,2560,2560,10240
7/21/20,b,B6,64,64,64,64,256,64,2560,2560,2560,2560,2560,2560,10240
8/14/20,a,A1,446,387,79,46,958,239.5,9580,38320,17840,15480,3160,1840,38320
8/14/20,a,A2,261,62,35,1097,1455,363.75,14550,58200,10440,2480,1400,43880,58200
8/14/20,a,A3,48,1039,239,218,1544,386,15440,61760,1920,41560,9560,8720,61760
8/14/20,a,A4,14,130,1301,674,2119,529.75,21190,84760,560,5200,52040,26960,84760
8/14/20,a,A5,12,37,45,308,402,100.5,4020,16080,480,1480,1800,12320,16080
8/14/20,a,A6,414,96,65,205,780,195,7800,31200,16560,3840,2600,8200,31200
8/14/20,b,B1,280,32,224,112,648,162,6480,25920,11200,1280,8960,4480,25920
8/14/20,b,B2,288,33,30,144,495,123.75,4950,19800,11520,1320,1200,5760,19800
8/14/20,b,B3,17,34,41,86,178,44.5,1780,7120,680,1360,1640,3440,7120
8/14/20,b,B4,568,86,13,62,729,182.25,7290,29160,22720,3440,520,2480,29160
8/14/20,b,B5,103,37,29,530,699,174.75,6990,27960,4120,1480,1160,21200,27960
8/14/20,b,B6,221,182,49,1401,1853,463.25,18530,74120,8840,7280,1960,56040,74120
8/31/20,a,A1,671,1305,203,164,2343,585.75,23430,93720,26840,52200,8120,6560,93720
8/31/20,a,A2,1358,341,195,1699,3593,898.25,35930,143720,54320,13640,7800,67960,143720
8/31/20,a,A3,1343,261,98,550,2252,563,22520,90080,53720,10440,3920,22000,90080
8/31/20,a,A4,671,54,781,1681,3187,796.75,31870,127480,26840,2160,31240,67240,127480
8/31/20,a,A5,684,469,1408,453,3014,753.5,30140,120560,27360,18760,56320,18120,120560
8/31/20,a,A6,71,65,1360,612,2108,527,21080,84320,2840,2600,54400,24480,84320
8/31/20,b,B1,563,1541,309,283,2696,674,26960,107840,22520,61640,12360,11320,107840
