Label,Group,Group2, Timepoint,Cage,Cage.Treat,Pheno.Treat,Cage.Pheno,Rep,Day 1 Egg count,day 1 fly count,day 1 eggs / fly,Day 2 Egg count,day 2 fly clount,day 2 eggs / fly,Day 3 Egg count,day 3 fly count,day 3 eggs/ fly,Total Egg count,Mean.eggperday,totalfecund
B-1-b1,0-bb,0-F-bb,0,F,b,b,bb,1,302,5,60.4,112,5,22.4,95,5,19,601.8,33.93,101.8
B-1-b2,0-bb,0-F-bb,0,F,b,b,bb,2,310,5,62,128,5,25.6,88,5,17.6,623.6,35.07,105.2
B-1-b3,0-bb,0-F-bb,0,F,b,b,bb,3,209,5,41.8,103,5,20.6,134,5,26.8,518.4,29.73,89.2
B-1-a1,0-ba,0-F-ba,0,F,b,a,ba,1,258,5,51.6,64,5,12.8,45,5,9,441.4,24.47,73.4
B-1-a2,0-ba,0-F-ba,0,F,b,a,ba,2,276,5,55.2,46,5,9.2,49,5,9.8,445.4,24.73,74.2
B-1-a3,0-ba,0-F-ba,0,F,b,a,ba,3,259,5,51.8,55,5,11,53,5,10.6,439.8,24.47,73.4
B-2-b1,0-bb,0-F-bb,0,F,b,b,bb,1,178,5,35.6,130,5,26,86,5,17.2,465.6,26.27,78.8
B-2-b2,0-bb,0-F-bb,0,F,b,b,bb,2,266,5,53.2,104,5,20.8,140,5,28,594,34,102
B-2-b3,0-bb,0-F-bb,0,F,b,b,bb,3,271,5,54.2,120,5,24,143,5,28.6,622.2,35.6,106.8
B-2-a1,0-ba,0-F-ba,0,F,b,a,ba,1,297,5,59.4,68,5,13.6,0,0,0,448,24.33,73
B-2-a2,0-ba,0-F-ba,0,F,b,a,ba,2,256,5,51.2,42,5,8.4,39,5,7.8,406.6,22.47,67.4
B-2-a3,0-ba,0-F-ba,0,F,b,a,ba,3,205,5,41,53,5,10.6,40,5,8,359.6,19.87,59.6
B-3-b1,0-bb,0-F-bb,0,F,b,b,bb,1,156,5,31.2,59,5,11.8,115,5,23,383,22,66
B-3-b2,0-bb,0-F-bb,0,F,b,b,bb,2,200,5,40,97,5,19.4,75,5,15,441.4,24.8,74.4
