Label,Group,Group2,Timepoint,Cage ,Cage.Treat,Pheno.Treat,Cage.Pheno,Rep,184 F,184 M,188 F,188 M,192 F,192 M,208 F,208 M,212 F,212 M,216 F,216 M,232 F,232 M,236 F,236 M,240 F,240 M,256 F,256 M,260 F,260 M,264 F,264 M,280 F,280 M,284 F,284 M,288 F,288 M,304 F,304 M,308 F,308 M,312 F,312 M,328 F,328 M,332 F,332 M,336 F,336 M,352 F,352 M,356 F,356 M,360 F,360 M,376 F,376 M,380 F,380 M,384 F,384 M,400 F,400 M,404 F,404 M,408 F,408 M,F total Count,M Total Count,F count x time,M count x time,CountTotal ,Mean.F.LD,Mean.M.LD,Mean.LD
B-1-b1,0-bb,0-F-bb,0,F,b,b,bb,1,0,0,0,0,0,0,1,0,0,0,12,12,11,12,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,24,5832,5376,50,224.3076923,224,224.16
B-1-b2,0-bb,0-F-bb,0,F,b,b,bb,2,,,,,,,1,1,,,19,8,10,10,,,1,0,1,0,,,0,0,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,33,19,7440,4256,52,225.4545455,224,224.9230769
B-1-b3,0-bb,0-F-bb,0,F,b,b,bb,3,,,,,,,3,0,,,20,16,0,7,,,1,1,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,24,5184,5320,48,216,221.6666667,218.8333333
B-1-b4,0-bb,0-F-bb,0,F,b,b,bb,4,,,,,,,1,3,,,15,17,1,8,,,0,1,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,29,3680,6392,46,216.4705882,220.4137931,218.9565217
B-1-a1,0-ba,0-F-ba,0,F,b,a,ba,1,,,,,,,1,0,,,4,4,4,7,,,0,1,2,1,,,1,2,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,13,15,3112,3512,28,239.3846154,234.1333333,236.5714286
B-1-a2,0-ba,0-F-ba,0,F,b,a,ba,2,,,,,,,0,0,,,4,4,7,6,,,2,8,1,1,,,2,1,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,21,3752,4984,37,234.5,237.3333333,236.1081081
B-1-a3,0-ba,0-F-ba,0,F,b,a,ba,3,,,,,,,1,0,,,3,1,7,5,,,5,1,2,1,,,1,3,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,11,4760,2664,31,238,242.1818182,239.483871
B-1-a4,0-ba,0-F-ba,0,F,b,a,ba,4,,,,,,,0,0,,,5,3,6,4,,,4,3,1,1,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,11,4216,2552,29,234.2222222,232,233.3793103
B-2-b1,0-bb,0-F-bb,0,F,b,b,bb,1,,,,,,,3,2,,,19,8,4,5,,,1,1,0,0,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,16,6160,3544,44,220,221.5,220.5454545
B-2-b2,0-bb,0-F-bb,0,F,b,b,bb,2,,,,,,,3,1,,,19,12,10,5,,,0,0,0,0,,,0,0,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,19,7048,4264,51,220.25,224.4210526,221.8039216
B-2-b3,0-bb,0-F-bb,0,F,b,b,bb,3,,,,,,,0,0,,,17,8,5,14,,,1,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,22,5072,4976,45,220.5217391,226.1818182,223.2888889
B-2-b4,0-bb,0-F-bb,0,F,b,b,bb,4,,,,,,,1,0,,,20,15,3,13,,,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,28,5224,6256,52,217.6666667,223.4285714,220.7692308
B-2-a1,0-ba,0-F-ba,0,F,b,a,ba,1,,,,,,,2,4,,,5,6,3,2,,,3,2,0,2,,,1,2,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,19,3176,4400,33,226.8571429,231.5789474,229.5757576
B-2-a2,0-ba,0-F-ba,0,F,b,a,ba,2,,,,,,,0,0,,,6,2,3,8,,,7,3,0,1,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,15,4464,3528,34,234.9473684,235.2,235.0588235
B-2-a3,0-ba,0-F-ba,0,F,b,a,ba,3,,,,,,,4,0,,,9,4,6,7,,,1,0,2,1,,,1,0,,,,,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,14,5184,3320,37,225.3913043,237.1428571,229.8378378
B-2-a4,0-ba,0-F-ba,0,F,b,a,ba,4,,,,,,,0,0,,,6,2,3,7,,,4,2,1,1,,,1,3,,,,,1,0,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,16,16,3760,3912,32,235,244.5,239.75
B-3-b1,0-bb,0-F-bb,0,F,b,b,bb,1,,,,,,,1,0,,,16,10,8,16,,,3,2,1,1,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,29,6496,6608,58,224,227.862069,225.9310345
B-3-b2,0-bb,0-F-bb,0,F,b,b,bb,2,,,,,,,0,0,,,12,3,16,14,,,11,6,0,0,,,5,1,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,25,10264,5904,69,233.2727273,236.16,234.3188406
B-3-b3,0-bb,0-F-bb,0,F,b,b,bb,3,,,,,,,3,0,,,30,4,8,5,,,2,1,0,0,,,0,1,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,12,9440,2832,55,219.5348837,236,223.1272727
B-3-b4,0-bb,0-F-bb,0,F,b,b,bb,4,,,,,,,0,1,,,19,11,7,13,,,3,2,1,0,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,28,6704,6344,58,223.4666667,226.5714286,224.9655172
B-3-a1,0-ba,0-F-ba,0,F,b,a,ba,1,,,,,,,0,0,,,3,1,4,4,,,2,6,1,6,,,2,1,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,19,3416,4672,33,244,245.8947368,245.0909091
B-3-a2,0-ba,0-F-ba,0,F,b,a,ba,2,,,,,,,0,0,,,4,0,5,5,,,4,7,3,2,,,1,3,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,19,4592,4720,38,241.6842105,248.4210526,245.0526316
B-3-a3,0-ba,0-F-ba,0,F,b,a,ba,3,,,,,,,0,0,,,4,3,5,2,,,5,7,1,2,,,6,3,,,,,4,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,21,6824,5264,48,252.7407407,250.6666667,251.8333333
B-3-a4,0-ba,0-F-ba,0,F,b,a,ba,4,,,,,,,0,0,,,2,1,5,3,,,6,3,2,3,,,1,4,,,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,18,4384,4608,36,243.5555556,256,249.7777778
B-4-b1,0-bb,0-F-bb,0,F,b,b,bb,1,,,,,,,1,0,,,9,8,6,13,,,3,12,0,1,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,34,4264,7880,53,224.4210526,231.7647059,229.1320755
B-4-b2,0-bb,0-F-bb,0,F,b,b,bb,2,,,,,,,0,1,,,16,9,2,1,,,2,6,0,2,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20,4400,4600,40,220,230,225
