Label,Group,Group2,Timepoint,Cage,Cage.Treat,Pheno.Treat,Cage.Pheno,Sex,Rep,Fly Count,16,20,24,40,44,48,64,68,72,88,92,96,112,116,120,136,140,144,160,164,168,184,188,192,Mean.SRf
B-1-bF1,0-bb,0-F-bb,0,F,b,b,bb,F,1,10,,,1,6,6,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,44.8
B-1-bF2,0-bb,0-F-bb,0,F,b,b,bb,F,2,10,,,,6,6,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,46.4
B-1-bF3,0-bb,0-F-bb,0,F,b,b,bb,F,3,10,,,1,5,8,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,45.2
B-1-bF4,0-bb,0-F-bb,0,F,b,b,bb,F,4,10,,,,5,5,7,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,51.6
B-1-aF1,0-ba,0-F-ba,0,F,b,a,ba,F,1,10,,,,3,4,5,5,5,5,8,8,9,10,10,10,10,10,10,10,10,10,10,10,10,68.4
B-1-aF2,0-ba,0-F-ba,0,F,b,a,ba,F,2,10,,,,3,3,4,4,4,5,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,70.4
B-1-aF3,0-ba,0-F-ba,0,F,b,a,ba,F,3,10,,,,3,4,4,4,5,5,8,8,8,8,9,9,9,10,10,10,10,10,10,10,10,75.2
B-1-aF4,0-ba,0-F-ba,0,F,b,a,ba,F,4,10,,,,,1,1,2,2,3,7,7,9,10,10,10,10,10,10,10,10,10,10,10,10,83.6
B-2-bF1,0-bb,0-F-bb,0,F,b,b,bb,F,1,10,,,,5,5,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,48.8
B-2-bF2,0-bb,0-F-bb,0,F,b,b,bb,F,2,10,,,,4,5,6,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,51.6
B-2-bF3,0-bb,0-F-bb,0,F,b,b,bb,F,3,10,,,1,5,5,6,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,48.8
B-2-bF4,0-bb,0-F-bb,0,F,b,b,bb,F,4,10,,,,4,4,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,49.6
B-2-aF1,0-ba,0-F-ba,0,F,b,a,ba,F,1,10,,,,1,2,2,5,5,5,6,6,9,10,10,10,10,10,10,10,10,10,10,10,10,76.4
B-2-aF2,0-ba,0-F-ba,0,F,b,a,ba,F,2,10,,,,4,5,5,7,7,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,58
B-2-aF3,0-ba,0-F-ba,0,F,b,a,ba,F,3,10,,,,6,8,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,46.4
B-2-aF4,0-ba,0-F-ba,0,F,b,a,ba,F,4,10,,,,6,7,8,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,49.2
B-3-bF1,0-bb,0-F-bb,0,F,b,b,bb,F,1,10,,,,1,2,4,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,58.8
B-3-bF2,0-bb,0-F-bb,0,F,b,b,bb,F,2,10,,,,2,3,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,50.8
B-3-bF3,0-bb,0-F-bb,0,F,b,b,bb,F,3,10,,,,1,3,5,8,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,57.6
B-3-bF4,0-bb,0-F-bb,0,F,b,b,bb,F,4,10,,,,2,2,2,6,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,64.8
B-3-aF1,0-ba,0-F-ba,0,F,b,a,ba,F,1,10,1,1,1,4,4,6,8,8,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,53.6
B-3-aF2,0-ba,0-F-ba,0,F,b,a,ba,F,2,10,,,,1,2,3,5,5,6,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,69.2
B-3-aF3,0-ba,0-F-ba,0,F,b,a,ba,F,3,10,,,,2,2,4,4,4,6,8,8,9,9,10,10,10,10,10,10,10,10,10,10,10,70.8
B-3-aF4,0-ba,0-F-ba,0,F,b,a,ba,F,4,10,,,,2,2,3,3,3,5,8,8,8,9,9,10,10,10,10,10,10,10,10,10,10,76.8
B-4-bF1,0-bb,0-F-bb,0,F,b,b,bb,F,1,10,,,,4,7,7,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,50.8
B-4-bF2,0-bb,0-F-bb,0,F,b,b,bb,F,2,10,,,,3,7,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,48.8
B-4-bF3,0-bb,0-F-bb,0,F,b,b,bb,F,3,10,,,1,2,5,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,48.4
B-4-bF4,0-bb,0-F-bb,0,F,b,b,bb,F,4,10,,,,5,6,8,8,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,50
B-4-aF1,0-ba,0-F-ba,0,F,b,a,ba,F,1,10,,,,1,2,4,6,6,7,8,8,9,9,9,10,10,10,10,10,10,10,10,10,10,68.4
B-4-aF2,0-ba,0-F-ba,0,F,b,a,ba,F,2,10,,,,3,4,4,5,5,6,7,9,10,10,10,10,10,10,10,10,10,10,10,10,10,66.8
B-4-aF3,0-ba,0-F-ba,0,F,b,a,ba,F,3,10,,,,3,4,7,7,7,8,8,8,8,10,10,10,10,10,10,10,10,10,10,10,10,60.4
B-4-aF4,0-ba,0-F-ba,0,F,b,a,ba,F,4,10,,,,3,4,4,5,5,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,63.6
T1-A1-F1,1-aa,1-A1-aa,1,A1,a,a,aa,F,1,10,,,,1,1,3,6,7,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,65.2
T1-A1-F2,1-aa,1-A1-aa,1,A1,a,a,aa,F,2,10,,,,1,1,1,3,3,4,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,76.8
