Label,Group,Group2,Timepoint,Cage ,Cage.Treat,Pheno.Treat,Cage.Pheno,Sex,Rep,Fly Count,16,20,24,40,44,48,64,68,72,88,92,96,112,116,120,136,140,144,160,164,168,184,188,192,,Mean.SRm
B-1-b1,0-bb,0-F-bb,0,F,b,b,bb,M,1,10,0,0,0,4,7,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,45.2
B-1-b2,0-bb,0-F-bb,0,F,b,b,bb,M,2,10,,,,2,4,7,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,51.2
B-1-b3,0-bb,0-F-bb,0,F,b,b,bb,M,3,10,,,,3,3,4,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,57.6
B-1-b4,0-bb,0-F-bb,0,F,b,b,bb,M,4,10,,,,2,5,5,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,55.6
B-1-a1,0-ba,0-F-ba,0,F,b,a,ba,M,1,10,,,,2,2,2,4,6,6,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,,70.8
B-1-a2,0-ba,0-F-ba,0,F,b,a,ba,M,2,10,,,,,,,6,6,7,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,72.4
B-1-a3,0-ba,0-F-ba,0,F,b,a,ba,M,3,10,,,,1,2,5,7,7,8,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,,62.8
B-1-a4,0-ba,0-F-ba,0,F,b,a,ba,M,4,10,,,,2,2,3,5,5,6,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,,70.4
B-2-b1,0-bb,0-F-bb,0,F,b,b,bb,M,1,10,,,,1,3,6,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,52.8
B-2-b2,0-bb,0-F-bb,0,F,b,b,bb,M,2,10,,,,3,3,5,8,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,56.4
B-2-b3,0-bb,0-F-bb,0,F,b,b,bb,M,3,10,,,,4,5,6,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,50.8
B-2-b4,0-bb,0-F-bb,0,F,b,b,bb,M,4,10,,,,3,5,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,48
B-2-a1,0-ba,0-F-ba,0,F,b,a,ba,M,1,10,,,,1,3,4,7,7,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,63.2
B-2-a2,0-ba,0-F-ba,0,F,b,a,ba,M,2,10,,,1,3,5,5,6,6,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,56
B-2-a3,0-ba,0-F-ba,0,F,b,a,ba,M,3,10,,,,3,3,4,7,7,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,,60
B-2-a4,0-ba,0-F-ba,0,F,b,a,ba,M,4,10,,,,3,6,7,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,50.4
B-3-b1,0-bb,0-F-bb,0,F,b,b,bb,M,1,10,,,,,,3,8,8,8,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,,64.8
B-3-b2,0-bb,0-F-bb,0,F,b,b,bb,M,2,10,,,,2,2,3,6,7,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,63.6
B-3-b3,0-bb,0-F-bb,0,F,b,b,bb,M,3,10,,,,1,3,5,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,56.8
B-3-b4,0-bb,0-F-bb,0,F,b,b,bb,M,4,10,,,,,,2,7,7,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,68
B-3-a1,0-ba,0-F-ba,0,F,b,a,ba,M,1,10,,,,2,3,5,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,56.8
B-3-a2,0-ba,0-F-ba,0,F,b,a,ba,M,2,10,,,,2,3,4,9,8,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,65.6
B-3-a3,0-ba,0-F-ba,0,F,b,a,ba,M,3,10,,,,1,2,2,5,6,6,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,70
B-3-a4,0-ba,0-F-ba,0,F,b,a,ba,M,4,10,,,,2,3,3,4,4,6,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,68.4
B-4-b1,0-bb,0-F-bb,0,F,b,b,bb,M,1,10,,,,2,2,4,5,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,62
B-4-b2,0-bb,0-F-bb,0,F,b,b,bb,M,2,10,,,,,2,4,8,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,61.6
B-4-b3,0-bb,0-F-bb,0,F,b,b,bb,M,3,10,,,,1,3,7,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,53.6
B-4-b4,0-bb,0-F-bb,0,F,b,b,bb,M,4,10,,,,1,3,4,8,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,59.2
B-4-a1,0-ba,0-F-ba,0,F,b,a,ba,M,1,10,,,,2,4,5,7,7,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,59.6
B-4-a2,0-ba,0-F-ba,0,F,b,a,ba,M,2,10,,,,2,4,4,6,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,60.8
B-4-a3,0-ba,0-F-ba,0,F,b,a,ba,M,3,10,,,,1,1,1,5,5,7,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,71.2
B-4-a4,0-ba,0-F-ba,0,F,b,a,ba,M,4,10,,,,1,3,5,7,7,8,8,9,9,10,10,10,10,10,10,10,10,10,10,10,10,,62.8
T1-A1-1,1-aa,1-A1-aa,1,A1,a,a,aa,1,1,10,,,,1,2,2,6,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,65.2
T1-A1-2,1-aa,1-A1-aa,1,A1,a,a,aa,2,2,10,,,,2,4,4,6,7,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,61.2
T1-A1-3,1-aa,1-A1-aa,1,A1,a,a,aa,3,3,10,1,1,1,4,4,4,6,7,8,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,,58.8
