Label,Group,Group2,Timepoint,Cage ,Cage.Treat,Pheno.Treat,Cage.Pheno,Length 1,Length 2,Length 3,Length 4,Length 5,Length 6,Length 7,Length 8,Length 9,Length 10,Length 11,Length 12,Mean.TL,SE.TL
FA1,0-ba,0-F-ba,0,F,b,a,ba,1140.44128,1149.236812,1220.008607,1224.445027,1225.503799,1238.886446,1244.854259,1245.519294,1247.960787,1269.136173,1280.094723,1316.629812,1233.559752,14.28900784
FA2,0-ba,0-F-ba,0,F,b,a,ba,1079.980006,1115.564879,1121.379731,1166.784524,1189.339234,1198.82969,1265.31382,1288.00148,1293.073277,1296.630103,1308.21405,1349.563726,1222.722877,25.64727693
FA3,0-ba,0-F-ba,0,F,b,a,ba,1077.171876,1112.612073,1156.753431,1173.660566,1174.736141,1222.488676,1232.650498,1237.942976,1242.857016,1255.654336,1259.563044,1271.193263,1201.440325,17.9356232
FA4,0-ba,0-F-ba,0,F,b,a,ba,1017.224963,1179.698717,1182.39767,1187.802646,1238.688041,1247.481964,1249.965,1252.240816,1297.082038,1301.955836,1318.532518,1345.270094,1234.861692,25.17267655
FB1,0-bb,0-F-bb,0,F,b,b,bb,1261.030184,1279.562914,1279.562914,1325.28603,1341.935193,1344.086237,1359.162288,1378.85011,1396.59123,1400.700561,1441.600781,1459.877071,1355.687126,18.31589544
FB2,0-bb,0-F-bb,0,F,b,b,bb,1297.991261,1312.418593,1321.431515,1325.106269,1332.277796,1346.671939,1347.738499,1358.449898,1376.610557,1378.323483,1411.181464,1432.317113,1353.376532,11.62794552
FB3,0-bb,0-F-bb,0,F,b,b,bb,1285.547792,1287.437693,1302.469793,1306.478664,1310.007753,1314.2641,1337.430489,1344.072171,1350.563609,1394.88176,1408.378611,1417.370916,1338.241946,13.36931509
FB4,0-bb,0-F-bb,0,F,b,b,bb,1236.662494,1303.128639,1340.401456,1344.167819,1351.212997,1351.571146,1379.735595,1389.305335,1399.609521,1408.808118,1418.637551,1449.925602,1364.430523,16.44973394
T1B1,1-bb,1-B1-bb,1,B1,b,b,bb,1280.95,1355.76,1350.92,1259.86,1333.75,1311.66,1336.22,1430.86,1261.3,1321.15,1422.3,1348.62,1334.445833,15.67071528
T1B2,1-bb,1-B2-bb,1,B2,b,b,bb,1340.88,1336.54,1334.77,1328.48,1325.45,1357.69,1356.9,1372.39,1316.16,1290.18,1252.13,1304.35,1326.326667,9.467282924
T1B3,1-bb,1-B3-bb,1,B3,b,b,bb,1253.38,1318.4,1249.7,1316.63,1303.12,1347.16,1305.71,1342.96,1243.6,1333.82,1334.31,1324.26,1306.0875,10.68714224
T1B4,1-bb,1-B4-bb,1,B4,b,b,bb,1240.19,1214.44,1224.28,1279.23,1282.91,1238.76,1203.71,1231.61,1272.18,1262.84,1294.67,1300.63,1253.7875,9.378612365
T1B5,1-bb,1-B5-bb,1,B5,b,b,bb,1346.08,1301.41,1278.23,1266.11,1330.97,1253.62,1293.43,1300.75,1313.62,1373.97,1279.4,1258.48,1299.6725,10.55499337
