Label,Group,Group2,Timepoint,Cage,Cage.Treat,Pheno.Treat,Cage.Pheno,EggCount,AdultCount,Viability,,,
B-1-b1,0-bb,0-F-bb,0,F,b,b,bb,50,50,1,,,
B-1-b2,0-bb,0-F-bb,0,F,b,b,bb,50,50,1,,,
B-1-b3,0-bb,0-F-bb,0,F,b,b,bb,50,48,0.96,,,
B-1-b4,0-bb,0-F-bb,0,F,b,b,bb,50,46,0.92,,,
B-1-a1,0-ba,0-F-ba,0,F,b,a,ba,50,28,0.56,,,
B-1-a2,0-ba,0-F-ba,0,F,b,a,ba,50,37,0.74,,,
B-1-a3,0-ba,0-F-ba,0,F,b,a,ba,50,31,0.62,,,
B-1-a4,0-ba,0-F-ba,0,F,b,a,ba,50,29,0.58,,,
B-2-b1,0-bb,0-F-bb,0,F,b,b,bb,50,44,0.88,,,
B-2-b2,0-bb,0-F-bb,0,F,b,b,bb,50,50,1,,,
B-2-b3,0-bb,0-F-bb,0,F,b,b,bb,50,45,0.9,,,
B-2-b4,0-bb,0-F-bb,0,F,b,b,bb,50,50,1,,,
B-2-a1,0-ba,0-F-ba,0,F,b,a,ba,50,33,0.66,,,
B-2-a2,0-ba,0-F-ba,0,F,b,a,ba,50,34,0.68,,,
B-2-a3,0-ba,0-F-ba,0,F,b,a,ba,50,37,0.74,,,
B-2-a4,0-ba,0-F-ba,0,F,b,a,ba,50,32,0.64,,,
B-3-b1,0-bb,0-F-bb,0,F,b,b,bb,50,50,1,,,
B-3-b2,0-bb,0-F-bb,0,F,b,b,bb,50,50,1,,,
B-3-b3,0-bb,0-F-bb,0,F,b,b,bb,50,50,1,,,
B-3-b3,0-bb,0-F-bb,0,F,b,b,bb,50,50,1,,,
B-3-a1,0-ba,0-F-ba,0,F,b,a,ba,50,33,0.66,,,
B-3-a2,0-ba,0-F-ba,0,F,b,a,ba,50,38,0.76,,,
B-3-a3,0-ba,0-F-ba,0,F,b,a,ba,50,48,0.96,,,
B-3-a4,0-ba,0-F-ba,0,F,b,a,ba,50,36,0.72,,,
B-4-b1,0-bb,0-F-bb,0,F,b,b,bb,50,50,1,,,
B-4-b2,0-bb,0-F-bb,0,F,b,b,bb,50,40,0.8,,,
B-4-b3,0-bb,0-F-bb,0,F,b,b,bb,50,43,0.86,,,
B-4-b4,0-bb,0-F-bb,0,F,b,b,bb,50,42,0.84,,,
B-4-a1,0-ba,0-F-ba,0,F,b,a,ba,50,36,0.72,,,
B-4-a2,0-ba,0-F-ba,0,F,b,a,ba,50,38,0.76,,,
B-4-a3,0-ba,0-F-ba,0,F,b,a,ba,50,35,0.7,,,
B-4-a4,0-ba,0-F-ba,0,F,b,a,ba,50,39,0.78,,,
T1-A1-1,1-aa,1-A1-aa,1,A1,a,a,aa,50,50,1,,,
T1-A1-2,1-aa,1-A1-aa,1,A1,a,a,aa,50,37,0.74,,,
T1-A1-3,1-aa,1-A1-aa,1,A1,a,a,aa,50,32,0.64,,,
T1-A2-1,1-aa,1-A2-aa,1,A2,a,a,aa,50,51,1,,,
T1-A2-2,1-aa,1-A2-aa,1,A2,a,a,aa,50,50,1,,,
T1-A2-3,1-aa,1-A2-aa,1,A2,a,a,aa,50,49,0.98,,,
T1-A3-1,1-aa,1-A3-aa,1,A3,a,a,aa,50,50,1,,,
T1-A3-2,1-aa,1-A3-aa,1,A3,a,a,aa,50,43,0.86,,,
T1-A3-3,1-aa,1-A3-aa,1,A3,a,a,aa,50,50,1,,,
T1-A4-1,1-aa,1-A4-aa,1,A4,a,a,aa,50,44,0.88,,,
T1-A4-2,1-aa,1-A4-aa,1,A4,a,a,aa,50,50,1,,,
T1-A4-3,1-aa,1-A4-aa,1,A4,a,a,aa,50,46,0.92,,,
T1-A5-1,1-aa,1-A5-aa,1,A5,a,a,aa,50,43,0.86,,,
T1-A5-2,1-aa,1-A5-aa,1,A5,a,a,aa,50,38,0.76,,,
T1-A5-3,1-aa,1-A5-aa,1,A5,a,a,aa,50,39,0.78,,,
T1-A6-1,1-aa,1-A6-aa,1,A6,a,a,aa,50,48,0.96,,,
T1-A6-2,1-aa,1-A6-aa,1,A6,a,a,aa,50,34,0.68,,,
T1-A6-3,1-aa,1-A6-aa,1,A6,a,a,aa,50,40,0.8,,,
T1-B1-1,1-bb,1-B1-bb,1,B1,b,b,bb,50,41,0.82,,,
T1-B1-2,1-bb,1-B1-bb,1,B1,b,b,bb,50,50,1,,,
T1-B1-3,1-bb,1-B1-bb,1,B1,b,b,bb,50,49,0.98,,,
T1-B2-1,1-bb,1-B2-bb,1,B2,b,b,bb,50,50,1,,,
T1-B2-2,1-bb,1-B2-bb,1,B2,b,b,bb,50,50,1,,,
T1-B2-3,1-bb,1-B2-bb,1,B2,b,b,bb,50,50,1,,,
T1-B3-1,1-bb,1-B3-bb,1,B3,b,b,bb,50,50,1,,,
T1-B3-2,1-bb,1-B3-bb,1,B3,b,b,bb,50,47,0.94,,,
T1-B3-3,1-bb,1-B3-bb,1,B3,b,b,bb,50,50,1,,,
T1-B4-1,1-bb,1-B4-bb,1,B4,b,b,bb,50,44,0.88,,,
T1-B4-2,1-bb,1-B4-bb,1,B4,b,b,bb,50,48,0.96,,,
T1-B4-3,1-bb,1-B4-bb,1,B4,b,b,bb,50,50,1,,,
T1-B5-1,1-bb,1-B5-bb,1,B5,b,b,bb,50,50,1,,,
T1-B5-2,1-bb,1-B5-bb,1,B5,b,b,bb,50,50,1,,,
T1-B5-3,1-bb,1-B5-bb,1,B5,b,b,bb,50,50,1,,,
T1-B6-1,1-bb,1-B6-bb,1,B6,b,b,bb,50,50,1,,,
T1-B6-2,1-bb,1-B6-bb,1,B6,b,b,bb,50,50,1,,,
T1-B6-3,1-bb,1-B6-bb,1,B6,b,b,bb,50,47,0.94,,,
T2-A1-a1,2-aa,2-A1-aa,2,A1,a,a,aa,50,42,0.84,,,
T2-A1-a2,2-aa,2-A1-aa,2,A1,a,a,aa,50,47,0.94,,,
T2-A1-a3,2-aa,2-A1-aa,2,A1,a,a,aa,50,40,0.8,,,
T2-A1-b1,2-ab,2-A1-ab,2,A1,a,b,ab,50,47,0.94,,,
T2-A1-b2,2-ab,2-A1-ab,2,A1,a,b,ab,50,39,0.78,,,
T2-A1-b3,2-ab,2-A1-ab,2,A1,a,b,ab,50,51,1,,,
T2-A2-a1,2-aa,2-A2-aa,2,A2,a,a,aa,50,50,1,,,
T2-A2-a2,2-aa,2-A2-aa,2,A2,a,a,aa,50,39,0.78,,,
T2-A2-a3,2-aa,2-A2-aa,2,A2,a,a,aa,50,37,0.74,,,
T2-A2-b1,2-ab,2-A2-ab,2,A2,a,b,ab,50,50,1,,,
T2-A2-b2,2-ab,2-A2-ab,2,A2,a,b,ab,50,46,0.92,,,
T2-A2-b3,2-ab,2-A2-ab,2,A2,a,b,ab,50,50,1,,,
T2-A3-a1,2-aa,2-A3-aa,2,A3,a,a,aa,50,34,0.68,,,
T2-A3-a2,2-aa,2-A3-aa,2,A3,a,a,aa,50,32,0.64,,,
T2-A3-a3,2-aa,2-A3-aa,2,A3,a,a,aa,50,42,0.84,,,
T2-A3-b1,2-ab,2-A3-ab,2,A3,a,b,ab,50,50,1,,,
T2-A3-b2,2-ab,2-A3-ab,2,A3,a,b,ab,50,38,0.76,,,
T2-A3-b3,2-ab,2-A3-ab,2,A3,a,b,ab,50,50,1,,,
T2-A4-a1,2-aa,2-A4-aa,2,A4,a,a,aa,50,50,1,,,
T2-A4-a2,2-aa,2-A4-aa,2,A4,a,a,aa,50,42,0.84,,,
T2-A4-a3,2-aa,2-A4-aa,2,A4,a,a,aa,50,40,0.8,,,
T2-A4-b1,2-ab,2-A4-ab,2,A4,a,b,ab,50,41,0.82,,,
T2-A4-b2,2-ab,2-A4-ab,2,A4,a,b,ab,50,43,0.86,,,
T2-A4-b3,2-ab,2-A4-ab,2,A4,a,b,ab,50,45,0.9,,,
T2-A5-a1,2-aa,2-A5-aa,2,A5,a,a,aa,50,38,0.76,,,
T2-A5-a2,2-aa,2-A5-aa,2,A5,a,a,aa,50,46,0.92,,,
T2-A5-a3,2-aa,2-A5-aa,2,A5,a,a,aa,50,48,0.96,,,
T2-A5-b1,2-ab,2-A5-ab,2,A5,a,b,ab,50,50,1,,,
T2-A5-b2,2-ab,2-A5-ab,2,A5,a,b,ab,50,44,0.88,,,
T2-A5-b3,2-ab,2-A5-ab,2,A5,a,b,ab,50,18,0.36,,,
T2-A6-a1,2-aa,2-A6-aa,2,A6,a,a,aa,50,39,0.78,,,
T2-A6-a2,2-aa,2-A6-aa,2,A6,a,a,aa,50,49,0.98,,,
T2-A6-a3,2-aa,2-A6-aa,2,A6,a,a,aa,50,48,0.96,,,
T2-A6-b1,2-ab,2-A6-ab,2,A6,a,b,ab,50,49,0.98,,,
T2-A6-b2,2-ab,2-A6-ab,2,A6,a,b,ab,50,50,1,,,
T2-A6-b3,2-ab,2-A6-ab,2,A6,a,b,ab,50,46,0.92,,,
T2-B1-a1,2-ba,2-B1-ba,2,B1,b,a,ba,50,50,1,,,
