TimeStamp,obs,battery (volt),PTemp_C_Avg,AirTC_Avg,RH (percent),Temp_C_Avg,Temp_C,PAR_Den_Avg,PAR_Tot_Tot,WS_ms_Avg,Rain_mm_Tot
7/15/20 0:00,60434,12.87,22.47,24.33,70.23,21.97,21.92,0.41,0.3694136,0,0
7/15/20 0:15,60435,12.86,22.2,24.24,71.55,21.77,21.69,0.41,0.369407,0,0
7/15/20 0:30,60436,12.86,21.93,24,75.88,21.51,21.42,0.261,0.2350874,0,0
7/15/20 0:45,60437,12.85,21.69,23.78,72.91,21.3,21.27,0.261,0.2350943,0,0
7/15/20 1:00,60438,12.85,21.48,23.89,73.1,21.15,21.1,0.299,0.2686726,0,0
7/15/20 1:15,60439,12.84,21.31,23.61,77.57,20.96,20.85,0.224,0.2015104,0,0
7/15/20 1:30,60440,12.84,21.06,23.1,78.41,20.63,20.52,0.261,0.2350948,0,0
7/15/20 1:45,60441,12.83,20.81,23.1,75.42,20.45,20.41,0.261,0.2350986,0,0
7/15/20 2:00,60442,12.83,20.62,23.14,76.28,20.32,20.24,0.224,0.2015052,0,0
7/15/20 2:15,60443,12.82,20.46,23.11,79.12,20.17,20.12,0.261,0.2350986,0,0
7/15/20 2:30,60444,12.82,20.34,23.02,75.21,20.1,20.08,0.373,0.335858,0,0
7/15/20 2:45,60445,12.81,20.33,23.31,72.26,20.16,20.24,0.485,0.4366217,0,0
7/15/20 3:00,60446,12.81,20.5,23.91,71.2,20.47,20.62,0.411,0.3694593,0,0
7/15/20 3:15,60447,12.81,20.69,23.77,73.04,20.62,20.59,0.411,0.369454,0,0
7/15/20 3:30,60448,12.8,20.77,23.71,72.77,20.65,20.67,0.373,0.3358741,0,0
7/15/20 3:45,60449,12.8,20.81,23.63,73.95,20.68,20.66,0.41,0.3694394,0,0
7/15/20 4:00,60450,12.79,20.8,23.47,74.27,20.66,20.66,0.41,0.3694442,0,0
7/15/20 4:15,60451,12.79,20.77,23.33,76.16,20.61,20.51,0.41,0.369445,0,0
7/15/20 4:30,60452,12.79,20.68,23.17,76.54,20.52,20.43,0.299,0.2686856,0,0
7/15/20 4:45,60453,12.78,20.63,23.28,75.15,20.51,20.55,0.41,0.3694493,0,0
7/15/20 5:00,60454,12.78,20.66,23.23,75.88,20.54,20.54,0.448,0.4030329,0,0
7/15/20 5:15,60455,12.78,20.68,23.06,77.42,20.55,20.47,0.597,0.5373787,0,0
7/15/20 5:30,60456,12.77,20.58,22.68,79.06,20.37,20.28,2.351,2.115932,0,0
7/15/20 5:45,60457,12.77,20.42,22.55,80.2,20.2,20.11,24.82,22.33472,0,0
7/15/20 6:00,60458,12.76,20.25,22.41,81,20.02,19.95,95.9,86.31905,0,0
7/15/20 6:15,60459,12.78,20.08,22.05,83.5,19.82,19.75,212.2,190.9754,0,0
